1 :  []
2 :  [2]
3 :  [3]
4 :  [2, 2]
5 :  [5]
6 :  [2, 3]
7 :  [7]
8 :  [2, 2, 2]
9 :  [3, 3]
10 :  [2, 5]
11 :  [11]
12 :  [2, 2, 3]
13 :  [13]
14 :  [2, 7]
15 :  [3, 5]
16 :  [2, 2, 2, 2]
17 :  [17]
18 :  [2, 3, 3]
19 :  [19]
20 :  [2, 2, 5]
21 :  [3, 7]
22 :  [2, 11]
23 :  [23]
24 :  [2, 2, 2, 3]
25 :  [5, 5]
26 :  [2, 13]
27 :  [3, 3, 3]
28 :  [2, 2, 7]
29 :  [29]
30 :  [2, 3, 5]
31 :  [31]
32 :  [2, 2, 2, 2, 2]
33 :  [3, 11]
34 :  [2, 17]
35 :  [5, 7]
36 :  [2, 2, 3, 3]
37 :  [37]
38 :  [2, 19]
39 :  [3, 13]
40 :  [2, 2, 2, 5]
41 :  [41]
42 :  [2, 3, 7]
43 :  [43]
44 :  [2, 2, 11]
45 :  [3, 3, 5]
46 :  [2, 23]
47 :  [47]
48 :  [2, 2, 2, 2, 3]
49 :  [7, 7]
50 :  [2, 5, 5]
51 :  [3, 17]
52 :  [2, 2, 13]
53 :  [53]
54 :  [2, 3, 3, 3]
55 :  [5, 11]
56 :  [2, 2, 2, 7]
57 :  [3, 19]
58 :  [2, 29]
59 :  [59]
60 :  [2, 2, 3, 5]
61 :  [61]
62 :  [2, 31]
63 :  [3, 3, 7]
64 :  [2, 2, 2, 2, 2, 2]
65 :  [5, 13]
66 :  [2, 3, 11]
67 :  [67]
68 :  [2, 2, 17]
69 :  [3, 23]
70 :  [2, 5, 7]
71 :  [71]
72 :  [2, 2, 2, 3, 3]
73 :  [73]
74 :  [2, 37]
75 :  [3, 5, 5]
76 :  [2, 2, 19]
77 :  [7, 11]
78 :  [2, 3, 13]
79 :  [79]
80 :  [2, 2, 2, 2, 5]
81 :  [3, 3, 3, 3]
82 :  [2, 41]
83 :  [83]
84 :  [2, 2, 3, 7]
85 :  [5, 17]
86 :  [2, 43]
87 :  [3, 29]
88 :  [2, 2, 2, 11]
89 :  [89]
90 :  [2, 3, 3, 5]
91 :  [7, 13]
92 :  [2, 2, 23]
93 :  [3, 31]
94 :  [2, 47]
95 :  [5, 19]
96 :  [2, 2, 2, 2, 2, 3]
97 :  [97]
98 :  [2, 7, 7]
99 :  [3, 3, 11]
100 :  [2, 2, 5, 5]
101 :  [101]
102 :  [2, 3, 17]
103 :  [103]
104 :  [2, 2, 2, 13]
105 :  [3, 5, 7]
106 :  [2, 53]
107 :  [107]
108 :  [2, 2, 3, 3, 3]
109 :  [109]
110 :  [2, 5, 11]
111 :  [3, 37]
112 :  [2, 2, 2, 2, 7]
113 :  [113]
114 :  [2, 3, 19]
115 :  [5, 23]
116 :  [2, 2, 29]
117 :  [3, 3, 13]
118 :  [2, 59]
119 :  [7, 17]
120 :  [2, 2, 2, 3, 5]
121 :  [11, 11]
122 :  [2, 61]
123 :  [3, 41]
124 :  [2, 2, 31]
125 :  [5, 5, 5]
126 :  [2, 3, 3, 7]
127 :  [127]
128 :  [2, 2, 2, 2, 2, 2, 2]
129 :  [3, 43]
130 :  [2, 5, 13]
131 :  [131]
132 :  [2, 2, 3, 11]
133 :  [7, 19]
134 :  [2, 67]
135 :  [3, 3, 3, 5]
136 :  [2, 2, 2, 17]
137 :  [137]
138 :  [2, 3, 23]
139 :  [139]
140 :  [2, 2, 5, 7]
141 :  [3, 47]
142 :  [2, 71]
143 :  [11, 13]
144 :  [2, 2, 2, 2, 3, 3]
145 :  [5, 29]
146 :  [2, 73]
147 :  [3, 7, 7]
148 :  [2, 2, 37]
149 :  [149]
150 :  [2, 3, 5, 5]
151 :  [151]
152 :  [2, 2, 2, 19]
153 :  [3, 3, 17]
154 :  [2, 7, 11]
155 :  [5, 31]
156 :  [2, 2, 3, 13]
157 :  [157]
158 :  [2, 79]
159 :  [3, 53]
160 :  [2, 2, 2, 2, 2, 5]
161 :  [7, 23]
162 :  [2, 3, 3, 3, 3]
163 :  [163]
164 :  [2, 2, 41]
165 :  [3, 5, 11]
166 :  [2, 83]
167 :  [167]
168 :  [2, 2, 2, 3, 7]
169 :  [13, 13]
170 :  [2, 5, 17]
171 :  [3, 3, 19]
172 :  [2, 2, 43]
173 :  [173]
174 :  [2, 3, 29]
175 :  [5, 5, 7]
176 :  [2, 2, 2, 2, 11]
177 :  [3, 59]
178 :  [2, 89]
179 :  [179]
180 :  [2, 2, 3, 3, 5]
181 :  [181]
182 :  [2, 7, 13]
183 :  [3, 61]
184 :  [2, 2, 2, 23]
185 :  [5, 37]
186 :  [2, 3, 31]
187 :  [11, 17]
188 :  [2, 2, 47]
189 :  [3, 3, 3, 7]
190 :  [2, 5, 19]
191 :  [191]
192 :  [2, 2, 2, 2, 2, 2, 3]
193 :  [193]
194 :  [2, 97]
195 :  [3, 5, 13]
196 :  [2, 2, 7, 7]
197 :  [197]
198 :  [2, 3, 3, 11]
199 :  [199]
200 :  [2, 2, 2, 5, 5]
201 :  [3, 67]
202 :  [2, 101]
203 :  [7, 29]
204 :  [2, 2, 3, 17]
205 :  [5, 41]
206 :  [2, 103]
207 :  [3, 3, 23]
208 :  [2, 2, 2, 2, 13]
209 :  [11, 19]
210 :  [2, 3, 5, 7]
211 :  [211]
212 :  [2, 2, 53]
213 :  [3, 71]
214 :  [2, 107]
215 :  [5, 43]
216 :  [2, 2, 2, 3, 3, 3]
217 :  [7, 31]
218 :  [2, 109]
219 :  [3, 73]
220 :  [2, 2, 5, 11]
221 :  [13, 17]
222 :  [2, 3, 37]
223 :  [223]
224 :  [2, 2, 2, 2, 2, 7]
225 :  [3, 3, 5, 5]
226 :  [2, 113]
227 :  [227]
228 :  [2, 2, 3, 19]
229 :  [229]
230 :  [2, 5, 23]
231 :  [3, 7, 11]
232 :  [2, 2, 2, 29]
233 :  [233]
234 :  [2, 3, 3, 13]
235 :  [5, 47]
236 :  [2, 2, 59]
237 :  [3, 79]
238 :  [2, 7, 17]
239 :  [239]
240 :  [2, 2, 2, 2, 3, 5]
241 :  [241]
242 :  [2, 11, 11]
243 :  [3, 3, 3, 3, 3]
244 :  [2, 2, 61]
245 :  [5, 7, 7]
246 :  [2, 3, 41]
247 :  [13, 19]
248 :  [2, 2, 2, 31]
249 :  [3, 83]
250 :  [2, 5, 5, 5]
251 :  [251]
252 :  [2, 2, 3, 3, 7]
253 :  [11, 23]
254 :  [2, 127]
255 :  [3, 5, 17]
256 :  [2, 2, 2, 2, 2, 2, 2, 2]
257 :  [257]
258 :  [2, 3, 43]
259 :  [7, 37]
260 :  [2, 2, 5, 13]
261 :  [3, 3, 29]
262 :  [2, 131]
263 :  [263]
264 :  [2, 2, 2, 3, 11]
265 :  [5, 53]
266 :  [2, 7, 19]
267 :  [3, 89]
268 :  [2, 2, 67]
269 :  [269]
270 :  [2, 3, 3, 3, 5]
271 :  [271]
272 :  [2, 2, 2, 2, 17]
273 :  [3, 7, 13]
274 :  [2, 137]
275 :  [5, 5, 11]
276 :  [2, 2, 3, 23]
277 :  [277]
278 :  [2, 139]
279 :  [3, 3, 31]
280 :  [2, 2, 2, 5, 7]
281 :  [281]
282 :  [2, 3, 47]
283 :  [283]
284 :  [2, 2, 71]
285 :  [3, 5, 19]
286 :  [2, 11, 13]
287 :  [7, 41]
288 :  [2, 2, 2, 2, 2, 3, 3]
289 :  [17, 17]
290 :  [2, 5, 29]
291 :  [3, 97]
292 :  [2, 2, 73]
293 :  [293]
294 :  [2, 3, 7, 7]
295 :  [5, 59]
296 :  [2, 2, 2, 37]
297 :  [3, 3, 3, 11]
298 :  [2, 149]
299 :  [13, 23]
300 :  [2, 2, 3, 5, 5]
301 :  [7, 43]
302 :  [2, 151]
303 :  [3, 101]
304 :  [2, 2, 2, 2, 19]
305 :  [5, 61]
306 :  [2, 3, 3, 17]
307 :  [307]
308 :  [2, 2, 7, 11]
